CPV Code,Description
66100000Formidlingstjenester,"i forbindelse med bankvesen og investeringer66110000Bankformidlingstjenester66111000Sentralbanktjenester66112000Depositumtjenester66113000Kredittgivningstjenester66113100Mikro-kredittgivningstjenester66114000Finansiell leasingstjenester66115000Internasjonal betalingsoverføringstjenester66120000Investeringsbanktjenester og relaterte tjenester66121000Fusjons- og akkvisisjonstjenester66122000Bedriftsfinansierings- og risikovillig-kapitalstjenester66130000Tjenester i forbindelse med Meglervirksomhet og dertil knyttet handel med verdipapirer og varer66131000Verdipapirsmeglingstjenester66131100Tjenester i forbindelse med investering av pensjonsmidler66132000Tjenester i forbindelse med handelsvarer66133000Behandlings- og clearingstjenester66140000Porteføljeforvaltningstjenester66141000Tjenester i forbindelse med forvaltning av pensjonsfond66150000Tjenester i forbindelse med Forvaltning av kapitalfinansmarkeder66151000Tjenester i forbindelse med Finansmarkedsadministrasjon66151100Handelstjenester i forbindelse med elektronisk markedsplass66152000Tilsynstjenester i forbindelse med finansmarkedet66160000Tjenester i forbindelse med forvaltning av aktiva og depot66161000Tjenester i forbindelse med Forvaltning av aktiva66162000Tjenester i forbindelse med Depotforvaltning66170000Tjenester i forbindelse med finansrådgivning, finansoverføringshåndtering og finans/garanti-institusjon66171000Tjenester i forbindelse med finansrådgivning66172000Tjenester i forbindelse med finansoverføringshåndtering og finans/garanti-institusjon66180000Tjenester i forbindelse med veksling av valuta66190000Tjenester i forbindelse med lånemeglervirksomhet"
66110000Bankformidlingstjenester66111000Sentralbanktjenester66112000Depositumtjenester66113000Kredittgivningstjenester66113100Mikro-kredittgivningstjenester66114000Finansiell,leasingstjenester66115000Internasjonal betalingsoverføringstjenester
66114000Finansiell,leasingstjenester
66115000Internasjonal,betalingsoverføringstjenester
66120000Investeringsbanktjenester,og relaterte tjenester66121000Fusjons- og akkvisisjonstjenester66122000Bedriftsfinansierings- og risikovillig-kapitalstjenester
66121000Fusjons-,og akkvisisjonstjenester
66122000Bedriftsfinansierings-,og risikovillig-kapitalstjenester
66130000Tjenester,i forbindelse med Meglervirksomhet og dertil knyttet handel med verdipapirer og varer66131000Verdipapirsmeglingstjenester66131100Tjenester i forbindelse med investering av pensjonsmidler66132000Tjenester i forbindelse med handelsvarer66133000Behandlings- og clearingstjenester
66131000Verdipapirsmeglingstjenester66131100Tjenester,i forbindelse med investering av pensjonsmidler
66131100Tjenester,i forbindelse med investering av pensjonsmidler
66132000Tjenester,i forbindelse med handelsvarer
66133000Behandlings-,og clearingstjenester
66140000Porteføljeforvaltningstjenester66141000Tjenester,i forbindelse med forvaltning av pensjonsfond
66141000Tjenester,i forbindelse med forvaltning av pensjonsfond
66150000Tjenester,i forbindelse med Forvaltning av kapitalfinansmarkeder66151000Tjenester i forbindelse med Finansmarkedsadministrasjon66151100Handelstjenester i forbindelse med elektronisk markedsplass66152000Tilsynstjenester i forbindelse med finansmarkedet
66151000Tjenester,i forbindelse med Finansmarkedsadministrasjon66151100Handelstjenester i forbindelse med elektronisk markedsplass
66151100Handelstjenester,i forbindelse med elektronisk markedsplass
66152000Tilsynstjenester,i forbindelse med finansmarkedet
66160000Tjenester,i forbindelse med forvaltning av aktiva og depot66161000Tjenester i forbindelse med Forvaltning av aktiva66162000Tjenester i forbindelse med Depotforvaltning
66161000Tjenester,i forbindelse med Forvaltning av aktiva
66162000Tjenester,i forbindelse med Depotforvaltning
66170000Tjenester,"i forbindelse med finansrådgivning, finansoverføringshåndtering og finans/garanti-institusjon66171000Tjenester i forbindelse med finansrådgivning66172000Tjenester i forbindelse med finansoverføringshåndtering og finans/garanti-institusjon"
66171000Tjenester,i forbindelse med finansrådgivning
66172000Tjenester,i forbindelse med finansoverføringshåndtering og finans/garanti-institusjon
66180000Tjenester,i forbindelse med veksling av valuta
66190000Tjenester,i forbindelse med lånemeglervirksomhet
66500000Forsikrings-,"og pensjonstjenester66510000Forsikringstjenester66511000Livsforsikringstjenester66512000Ulykkes- og sykeforsikring66512100Ulykkesforsikring66512200Sykeforsikring66512210Frivillige sykeforsikringer66512220Sykeforsikring - Privat66513000Rettsforsikrings- og allriskforsikringstjenester66513100Rettshjelpsforsikringer66513200Entrepriseforsikring66514000Fraktforsikrings- og forsikringstjenester i forbindelse med transport66514100Forsikring i forbindelse med transport66514110Motorkjøretøysforsikring66514120Sjøforsikring, luftfartforsikring og annen transportforsikring66514130Forsikring i forbindelse med jernbaner66514140Forsikring i forbindelse med fly66514150Forsikring i forbindelse med skip66514200Fraktforsikringer66515000Skade- eller tapsforsikring66515100Forsikring i forbindelse med brann66515200Tingskadeforsikring66515300Værrelatert forsikring og forsikring mot økonomisk tap66515400Værrelatert forsikring66515410Forsikring mot økonomisk tap66516000Ansvarsforsikringstjenester66516100Ansvarsforsikring for motorkjøretøyer66516200Ansvarsforsikring for fly66516300Ansvarsforsikring for skip66516400Generelle ansvarsforsikringstjenester66516500 Forsikringstjenester mot yrkesmessig ansvar66517000Kreditt- og kausjonsforsikring66517100Kredittforsikring66517200Kausjonsforsikring66517300Forsikring i forbindelse med risikostyring66518000Forsikringsmeglings- og agenttjenester66518100Forsikringsmeglertjenester66518200Forsikringsbyråtjenester66518300Oppgjør av forsikringserstatning66519000Tekniske-, reserve-, gjennomsnitts-, taps-, aktuar-, og bergingsforsikringstjenester66519100Forsikring i forbindelse med olje- eller gassplattformer66519200Forsikring av tekniske anlegg66519300Hjelpetjenester i forbindelse med forsikring66519310Konsulenttjenester i forbindelse med forsikring66519400Skadeoppgjørtjenester66519500Skadeoppgjørtjenester66519600Forsikringstekniske tjenester66519700Administrasjon i forbindelse med bergingstjenester66520000Pensjonstjenester66521000Individuelle pensjonsforsikringer66522000Kollektive pensjonsforsikringer66523000Pensjonskasserådgivning66523100Forvaltning av pensjonsfond"
66510000Forsikringstjenester66511000Livsforsikringstjenester66512000Ulykkes-,"og sykeforsikring66512100Ulykkesforsikring66512200Sykeforsikring66512210Frivillige sykeforsikringer66512220Sykeforsikring - Privat66513000Rettsforsikrings- og allriskforsikringstjenester66513100Rettshjelpsforsikringer66513200Entrepriseforsikring66514000Fraktforsikrings- og forsikringstjenester i forbindelse med transport66514100Forsikring i forbindelse med transport66514110Motorkjøretøysforsikring66514120Sjøforsikring, luftfartforsikring og annen transportforsikring66514130Forsikring i forbindelse med jernbaner66514140Forsikring i forbindelse med fly66514150Forsikring i forbindelse med skip66514200Fraktforsikringer66515000Skade- eller tapsforsikring66515100Forsikring i forbindelse med brann66515200Tingskadeforsikring66515300Værrelatert forsikring og forsikring mot økonomisk tap66515400Værrelatert forsikring66515410Forsikring mot økonomisk tap66516000Ansvarsforsikringstjenester66516100Ansvarsforsikring for motorkjøretøyer66516200Ansvarsforsikring for fly66516300Ansvarsforsikring for skip66516400Generelle ansvarsforsikringstjenester66516500 Forsikringstjenester mot yrkesmessig ansvar66517000Kreditt- og kausjonsforsikring66517100Kredittforsikring66517200Kausjonsforsikring66517300Forsikring i forbindelse med risikostyring66518000Forsikringsmeglings- og agenttjenester66518100Forsikringsmeglertjenester66518200Forsikringsbyråtjenester66518300Oppgjør av forsikringserstatning66519000Tekniske-, reserve-, gjennomsnitts-, taps-, aktuar-, og bergingsforsikringstjenester66519100Forsikring i forbindelse med olje- eller gassplattformer66519200Forsikring av tekniske anlegg66519300Hjelpetjenester i forbindelse med forsikring66519310Konsulenttjenester i forbindelse med forsikring66519400Skadeoppgjørtjenester66519500Skadeoppgjørtjenester66519600Forsikringstekniske tjenester66519700Administrasjon i forbindelse med bergingstjenester"
66512000Ulykkes-,og sykeforsikring66512100Ulykkesforsikring66512200Sykeforsikring66512210Frivillige sykeforsikringer66512220Sykeforsikring - Privat
66512200Sykeforsikring66512210Frivillige,sykeforsikringer66512220Sykeforsikring - Privat
66512210Frivillige,sykeforsikringer
66512220Sykeforsikring,- Privat
66513000Rettsforsikrings-,og allriskforsikringstjenester66513100Rettshjelpsforsikringer66513200Entrepriseforsikring
66514000Fraktforsikrings-,"og forsikringstjenester i forbindelse med transport66514100Forsikring i forbindelse med transport66514110Motorkjøretøysforsikring66514120Sjøforsikring, luftfartforsikring og annen transportforsikring66514130Forsikring i forbindelse med jernbaner66514140Forsikring i forbindelse med fly66514150Forsikring i forbindelse med skip66514200Fraktforsikringer"
66514100Forsikring,"i forbindelse med transport66514110Motorkjøretøysforsikring66514120Sjøforsikring, luftfartforsikring og annen transportforsikring66514130Forsikring i forbindelse med jernbaner66514140Forsikring i forbindelse med fly66514150Forsikring i forbindelse med skip"
"66514120Sjøforsikring,",luftfartforsikring og annen transportforsikring
66514130Forsikring,i forbindelse med jernbaner
66514140Forsikring,i forbindelse med fly
66514150Forsikring,i forbindelse med skip
66515000Skade-,eller tapsforsikring66515100Forsikring i forbindelse med brann66515200Tingskadeforsikring66515300Værrelatert forsikring og forsikring mot økonomisk tap66515400Værrelatert forsikring66515410Forsikring mot økonomisk tap
66515100Forsikring,i forbindelse med brann
66515300Værrelatert,forsikring og forsikring mot økonomisk tap
66515400Værrelatert,forsikring66515410Forsikring mot økonomisk tap
66515410Forsikring,mot økonomisk tap
66516000Ansvarsforsikringstjenester66516100Ansvarsforsikring,for motorkjøretøyer66516200Ansvarsforsikring for fly66516300Ansvarsforsikring for skip66516400Generelle ansvarsforsikringstjenester66516500 Forsikringstjenester mot yrkesmessig ansvar
66516100Ansvarsforsikring,for motorkjøretøyer
66516200Ansvarsforsikring,for fly
66516300Ansvarsforsikring,for skip
66516400Generelle,ansvarsforsikringstjenester
66516500,Forsikringstjenester mot yrkesmessig ansvar
66517000Kreditt-,og kausjonsforsikring66517100Kredittforsikring66517200Kausjonsforsikring66517300Forsikring i forbindelse med risikostyring
66517300Forsikring,i forbindelse med risikostyring
66518000Forsikringsmeglings-,og agenttjenester66518100Forsikringsmeglertjenester66518200Forsikringsbyråtjenester66518300Oppgjør av forsikringserstatning
66518300Oppgjør,av forsikringserstatning
"66519000Tekniske-,","reserve-, gjennomsnitts-, taps-, aktuar-, og bergingsforsikringstjenester66519100Forsikring i forbindelse med olje- eller gassplattformer66519200Forsikring av tekniske anlegg66519300Hjelpetjenester i forbindelse med forsikring66519310Konsulenttjenester i forbindelse med forsikring66519400Skadeoppgjørtjenester66519500Skadeoppgjørtjenester66519600Forsikringstekniske tjenester66519700Administrasjon i forbindelse med bergingstjenester"
66519100Forsikring,i forbindelse med olje- eller gassplattformer
66519200Forsikring,av tekniske anlegg
66519300Hjelpetjenester,i forbindelse med forsikring66519310Konsulenttjenester i forbindelse med forsikring
66519310Konsulenttjenester,i forbindelse med forsikring
66519600Forsikringstekniske,tjenester
66519700Administrasjon,i forbindelse med bergingstjenester
66520000Pensjonstjenester66521000Individuelle,pensjonsforsikringer66522000Kollektive pensjonsforsikringer66523000Pensjonskasserådgivning66523100Forvaltning av pensjonsfond
66521000Individuelle,pensjonsforsikringer
66522000Kollektive,pensjonsforsikringer
66523000Pensjonskasserådgivning66523100Forvaltning,av pensjonsfond
66523100Forvaltning,av pensjonsfond
66700000Reforsikringsvirksomhet66710000Reforsikring,av livsforsikringer66720000Reforsikring av ulykkes- og sykeforsikringer
66710000Reforsikring,av livsforsikringer
66720000Reforsikring,av ulykkes- og sykeforsikringer
70000000Virksomhet,i forbindelse med fast eiendom70100000Eiendomsmeglertjenster med egne eiendommer70110000Utviklingstjenester av fast eiendom70111000Utvikling av fast eiendom til beboelsesformål70112000Utvikling av fast eiendom til annet enn beboelsesformål70120000Kjøp og salg av fast eiendom70121000Kjøp eller salg av bygninger70121100Salg av bygninger70121200Kjøp av bygninger70122000Kjøp eller salg av jord70122100Salg av jord70122110Salg av ubebygget grunn70122200Kjøp av jord70122210Kjøp av ubebygget grunn70123000Salg av fast eiendom70123100Salg av fast eiendom til beboelsesformål70123200Salg av fast eiendom til annet enn beboelsesformål70130000Utleie av egen eiendom70200000Utleie eller leasing av egen fast eiendom70210000Utleie eller leasing av egen fast eiendom til beboelsesformål70220000Utleie eller leasing av egen fast eiendom til næringsformål70300000Eiendomsmeglervirksomhet på honorar eller kontraktsbasis7
0000Leie,eller salg av bygninger7
1000Leie,eller salg av bygninger til beboelsesformål70320000Leie eller salg av jord70321000Leie av jord70322000Leie eller salg av ubebygget grunn70330000Forvaltning av fast eiendom på honorar eller kontraktsbasis70331000Tjenesteytelser i forbindelse med fast eiendom til beboelsesformål70331100Forvaltning av institusjoner70332000Tjenesteytelser i forbindelse med fast eiendom til annet enn beboelsesformål70332100Forvaltning av jord70332200Forvaltning av næringseiendommer70332300Tjenesteytelser i forbindelse med industriell eiendom70333000Boligtjenester70340000Time-sharing-tjenester
70100000Eiendomsmeglertjenster,med egne eiendommer70110000Utviklingstjenester av fast eiendom70111000Utvikling av fast eiendom til beboelsesformål70112000Utvikling av fast eiendom til annet enn beboelsesformål70120000Kjøp og salg av fast eiendom70121000Kjøp eller salg av bygninger70121100Salg av bygninger70121200Kjøp av bygninger70122000Kjøp eller salg av jord70122100Salg av jord70122110Salg av ubebygget grunn70122200Kjøp av jord70122210Kjøp av ubebygget grunn70123000Salg av fast eiendom70123100Salg av fast eiendom til beboelsesformål70123200Salg av fast eiendom til annet enn beboelsesformål70130000Utleie av egen eiendom
70110000Utviklingstjenester,av fast eiendom70111000Utvikling av fast eiendom til beboelsesformål70112000Utvikling av fast eiendom til annet enn beboelsesformål
70111000Utvikling,av fast eiendom til beboelsesformål
70112000Utvikling,av fast eiendom til annet enn beboelsesformål
70120000Kjøp,og salg av fast eiendom70121000Kjøp eller salg av bygninger70121100Salg av bygninger70121200Kjøp av bygninger70122000Kjøp eller salg av jord70122100Salg av jord70122110Salg av ubebygget grunn70122200Kjøp av jord70122210Kjøp av ubebygget grunn70123000Salg av fast eiendom70123100Salg av fast eiendom til beboelsesformål70123200Salg av fast eiendom til annet enn beboelsesformål
70121000Kjøp,eller salg av bygninger70121100Salg av bygninger70121200Kjøp av bygninger
70121100Salg,av bygninger
70121200Kjøp,av bygninger
70122000Kjøp,eller salg av jord70122100Salg av jord70122110Salg av ubebygget grunn70122200Kjøp av jord70122210Kjøp av ubebygget grunn
70122100Salg,av jord70122110Salg av ubebygget grunn
70122110Salg,av ubebygget grunn
70122200Kjøp,av jord70122210Kjøp av ubebygget grunn
70122210Kjøp,av ubebygget grunn
70123000Salg,av fast eiendom70123100Salg av fast eiendom til beboelsesformål70123200Salg av fast eiendom til annet enn beboelsesformål
70123100Salg,av fast eiendom til beboelsesformål
70123200Salg,av fast eiendom til annet enn beboelsesformål
70130000Utleie,av egen eiendom
70200000Utleie,eller leasing av egen fast eiendom70210000Utleie eller leasing av egen fast eiendom til beboelsesformål70220000Utleie eller leasing av egen fast eiendom til næringsformål
70210000Utleie,eller leasing av egen fast eiendom til beboelsesformål
70220000Utleie,eller leasing av egen fast eiendom til næringsformål
70300000Eiendomsmeglervirksomhet,på honorar eller kontraktsbasis7
70320000Leie,eller salg av jord70321000Leie av jord70322000Leie eller salg av ubebygget grunn
70321000Leie,av jord
70322000Leie,eller salg av ubebygget grunn
70330000Forvaltning,av fast eiendom på honorar eller kontraktsbasis70331000Tjenesteytelser i forbindelse med fast eiendom til beboelsesformål70331100Forvaltning av institusjoner70332000Tjenesteytelser i forbindelse med fast eiendom til annet enn beboelsesformål70332100Forvaltning av jord70332200Forvaltning av næringseiendommer70332300Tjenesteytelser i forbindelse med industriell eiendom70333000Boligtjenester
70331000Tjenesteytelser,i forbindelse med fast eiendom til beboelsesformål70331100Forvaltning av institusjoner
70331100Forvaltning,av institusjoner
70332000Tjenesteytelser,i forbindelse med fast eiendom til annet enn beboelsesformål70332100Forvaltning av jord70332200Forvaltning av næringseiendommer70332300Tjenesteytelser i forbindelse med industriell eiendom
70332100Forvaltning,av jord
70332200Forvaltning,av næringseiendommer
70332300Tjenesteytelser,i forbindelse med industriell eiendom
"71000000Arkitekt-,","konstruksjons-, ingeniør- og inspeksjonstjenester71200000Arkitekt- og relaterte tjenester71210000Arkitektrådgivning71220000Arkitektoniske designtjenester71221000Arkitekters tjenesteytelser i forbindelse med bygninger71222000Arkitekters tjenesteytelser i forbindelse med utendørs anlegg71222100Kartleggingstjenester for byområder71222200Kartleggingstjenester for landområder71223000Arkitekters tjenesteytelser i forbindelse med bygningsutvidelse71230000Organisering av arkitektdesignkonkurranse71240000Arkitekt-, ingeniør- og planleggingstjenester71241000Gjennomførlighetsstudie, rådgivningstjeneste, analyse71242000Prosjekt- og designforberedelse, kostnadsoverslag71243000Skisseplaner (systemer og integrasjon)71244000Kostnadsoverslag, kontroll av kostnad71245000Godkjenningsplan, arbeidstegninger og spesifikasjoner71246000Avgjørelse og fortegnelse av mengder i konstruksjonen71247000Kontroll av bygningsarbeid71248000Kontroll av prosjekt og dokumentasjon71250000Arkitekt-, ingeniør- og oppmålingstjenester71251000Arkitekt- og bygningsoppmålingstjenester71300000Ingeniørtjenester71310000Rådgivning ingeniør- og byggetekniske tjenester71311000Rådgivning ingeniørtjenester i forbindelse med bygge- og anleggsarbeid71311100Støttetjenester i forbindelse med bygge- og anleggsarbeid71311200Rådgivning i forbindelse med transportsystemer71311210Rådgivning i forbindelse med hovedveier71311220Ingeniørarbeid i forbindelse med hovedveier71311230Ingeniørarbeid i forbindelse med jernbaner71311240Ingeniørarbeid i forbindelse med flyplasser71311300Rådgivning i forbindelse med infrastruktur71312000Rådgivning i forbindelse med bygningskonstruksjoner71313000Rådgivning i forbindelse med miljøteknikk71313100Rådgivning i forbindelse med støybekjempelse71313200Rådgivning i forbindelse med lydisolering og romakustikk71313400Miljøpåvirkningsanalyse av bygge- og anleggsvirksomhet71313410Risikoanalyse av bygge- og anleggsvirksomhet71313420Miljøstandarder for bygge- og anleggsvirksomhet71313430Miljøindikatoranalyse av bygge- og anleggsvirksomhet71313440Tjenester relatert til Miljøpåvirkningsanalyse av bygge- og anleggsvirksomhet71313450Miljøovervåkning av bygge- og anleggsvirksomhet71314000Energi og tilhørende tjenester71314100El-tjenester71314200Energiforvaltning71314300ENØK-rådgivning71314310Tjenesteytelser i forbindelse med varmeisolering av bygninger71315000Bygningsteknikk71315100Rådgivning i forbindelse med bygningsmaterialer71315200Konsulentvirksomhet i forbindelse med bygging71315210Rådgivning i forbindelse med bygningsteknikk71315300Byggningsoppmålingstjenster71315400Bygningsinspeksjon71315410Inspeksjon av ventilasjonssystemer71316000Rådgivning i forbindelse med telekommunikasjon71317000Rådgivning i forbindelse med beskyttelse mot og kontroll av farer71317100Rådgivning i forbindelse med beskyttelse og kontroll av brann og eksplosjon71317200Helse- og sikkerhetstjeneste71317210Rådgivning i forbindelse med helse- og sikkerhet71318000Veiledende og rådgivende ingeniørvirksomhet71318100Tjenesteytelser innen belysnings- og dagslysteknikk71319000Sakkyndige vitnetjenester71320000Prosjektering71321000Prosjektering av mekaniske og elektriske installasjoner71321100Byggeøkonomiske tjenester71321200Prosjektering av varmesystemer71321300Rådgivningstjenester relatert til rørlegging71321400Rådgivningstjenester relatert til ventilasjon71322000Prosjektering av anleggsarbeid71322100Masseberegning i forbindelse med anleggsarbeid71322200Prosjektering av rørledning71322300Prosjektering av broer71322400Prosjektering av demninger71322500Ingeniørmessig prosjektering i forbindelse med trafikkanlegg71323000Prosjektering i forbindelse med industriell bearbeiding og produksjon71323100Prosjektering av elkraftsystem71323200Prosjektering av anlegg, fabrikk71324000Masseberegning71325000Prosjektering av fundament71326000Hjelpevirksomhet i forbindelse med byggetjenster71327000Tjenesteytelser innen prosjektering av bærende konstruksjoner71328000Tjenesteytelser innen kontrollberegning av prosjekterte bærende konstruksjoner71330000Diverse former for ingeniørtjenster71331000Ingeniørtjenester i forbindelse med boreslamteknikk71332000Geoteknisk ingeniørtjenster71333000Maskintekniske ingeniørtjenester71334000Maskintekniske og elektrotekniske ingeniørtjenester71335000Tekniske undersøkelser71336000Ingeniørmessig støttetjenester71337000Korrosjonstekniske ingeniørtjenester71340000Integrert ingeniørtjenester71350000Vitenskapelig og teknisk virksomhet i forbindelse med ingeniørarbeid71351000Geologisk, geofysisk og annen vitenskapelig prospektering71351100Forberedelse og analyse av kjerner71351200Geologisk og geofysisk rådgivning71351210Geofysiske rådgivningstjenester71351220Geologisk rådgivning71351300Mikropaleontologisk analyse71351400Petrofysiske tolkninger71351500Grunnundersøkelser71351600Værmeldingstjenester71351610Metrologitjenester71351700Vitenskapelig prospektering71351710Geofysisk prospektering71351720Geofysikaliske undersøkelser av arkeologiske utgravninger71351730Geologisk prospektering71351800Topografi- og dykkertjenester71351810Topografiske tjenester71351820Vannsøketjenester71351900Geologi-, oseanografi- og hydrologitjenester71351910Geologitjenester71351920Oseanografi- og hydrologitjenester71352000Underjordiske måletjenester71352100Seismiske tjenester71352110Seismografiske målinger71352120Seismisk datafangst71352130Innsamling av seismiske data71352140Behandling av seismiske data71352300Magnetometriske målinger71353000Overflatemålinger71353100Hydrografiske målinger71353200Dimensjonsmålinger71354000Kartfremstilling71354100Digital kartlegging71354200Kartlegging fra luften71354300Undersøking med hensyn til matrikkel/grunnbok71354400Hydrografiske tjenester71354500Maritim måling71355000Oppmålingstjenester71355100Fotogrammetritjenester71355200Geografisk oppmåling71356000Tekniske tjenester71356100Tekniske kontrolltjenester71356200Teknisk bistand71356300Tekniske støttetjenester71356400Tekniske planleggingstjenster71400000Byplanleggings- og landskapsarkitekttjenester71410000Byplanleggingstjenester71420000Landskapsarkitekturtjenester71421000Landskapsgartnertjenester71500000Bygge- og anleggsrelaterte tjenesteytelser71510000Grunnundersøkelse av byggetomt71520000Tilsyn med bygge- og anleggsarbeid71521000Byggeplasstilsyn71530000Rådgivning i forbindelse med bygging71540000Byggeteknisk ledelse71541000Byggeteknisk prosjektledelse71550000Smedtjenester71600000Teknisk testing, analyse- og rådgivingstjenester71610000Prøving og analyse av sammensetning og renhet av masser71620000Analysetjenester71621000Teknisk analyse- og rådgivingstjenester71630000Teknisk inspeksjon og prøving71631000Teknisk inspeksjon71631100Inspeksjon av maskiner71631200Teknisk inspeksjon av motorkjøretøyer71631300Teknisk inspeksjon av bygninger71631400Teknisk inspeksjon av tekniske konstruksjoner71631420Maritime sikkerhetsinspeksjontjenester71631430Lekkasjetesting71631440Strømningsovervåkning71631450Inspeksjon av broer71631460Inspeksjon av demninger71631470Inspeksjon av jernbanespor71631480Inspeksjon av vei71631490Inspeksjon av Rullebane71632000Teknisk prøving71632100Prøving av ventiler71632200Ikke-destruktiv prøving71700000Overvåkning og kontroll71730000Industrielle inspeksjonstjenester71731000Industrielle kvalitetskontrolltjenester71800000Rådgivningstjenester for vannforsyning og avfallskonsulent71900000Laboratorietjenester"
71200000Arkitekt-,"og relaterte tjenester71210000Arkitektrådgivning71220000Arkitektoniske designtjenester71221000Arkitekters tjenesteytelser i forbindelse med bygninger71222000Arkitekters tjenesteytelser i forbindelse med utendørs anlegg71222100Kartleggingstjenester for byområder71222200Kartleggingstjenester for landområder71223000Arkitekters tjenesteytelser i forbindelse med bygningsutvidelse71230000Organisering av arkitektdesignkonkurranse71240000Arkitekt-, ingeniør- og planleggingstjenester71241000Gjennomførlighetsstudie, rådgivningstjeneste, analyse71242000Prosjekt- og designforberedelse, kostnadsoverslag71243000Skisseplaner (systemer og integrasjon)71244000Kostnadsoverslag, kontroll av kostnad71245000Godkjenningsplan, arbeidstegninger og spesifikasjoner71246000Avgjørelse og fortegnelse av mengder i konstruksjonen71247000Kontroll av bygningsarbeid71248000Kontroll av prosjekt og dokumentasjon71250000Arkitekt-, ingeniør- og oppmålingstjenester71251000Arkitekt- og bygningsoppmålingstjenester"
71220000Arkitektoniske,designtjenester71221000Arkitekters tjenesteytelser i forbindelse med bygninger71222000Arkitekters tjenesteytelser i forbindelse med utendørs anlegg71222100Kartleggingstjenester for byområder71222200Kartleggingstjenester for landområder71223000Arkitekters tjenesteytelser i forbindelse med bygningsutvidelse
71221000Arkitekters,tjenesteytelser i forbindelse med bygninger
71222000Arkitekters,tjenesteytelser i forbindelse med utendørs anlegg71222100Kartleggingstjenester for byområder71222200Kartleggingstjenester for landområder
71222100Kartleggingstjenester,for byområder
71222200Kartleggingstjenester,for landområder
71223000Arkitekters,tjenesteytelser i forbindelse med bygningsutvidelse
71230000Organisering,av arkitektdesignkonkurranse
"71240000Arkitekt-,","ingeniør- og planleggingstjenester71241000Gjennomførlighetsstudie, rådgivningstjeneste, analyse71242000Prosjekt- og designforberedelse, kostnadsoverslag71243000Skisseplaner (systemer og integrasjon)71244000Kostnadsoverslag, kontroll av kostnad71245000Godkjenningsplan, arbeidstegninger og spesifikasjoner71246000Avgjørelse og fortegnelse av mengder i konstruksjonen71247000Kontroll av bygningsarbeid71248000Kontroll av prosjekt og dokumentasjon"
"71241000Gjennomførlighetsstudie,","rådgivningstjeneste, analyse"
71242000Prosjekt-,"og designforberedelse, kostnadsoverslag"
71243000Skisseplaner,(systemer og integrasjon)
"71244000Kostnadsoverslag,",kontroll av kostnad
"71245000Godkjenningsplan,",arbeidstegninger og spesifikasjoner
71246000Avgjørelse,og fortegnelse av mengder i konstruksjonen
71247000Kontroll,av bygningsarbeid
71248000Kontroll,av prosjekt og dokumentasjon
"71250000Arkitekt-,",ingeniør- og oppmålingstjenester71251000Arkitekt- og bygningsoppmålingstjenester
71251000Arkitekt-,og bygningsoppmålingstjenester
